batsman,runs,balls,minutes,fours,sixes,strike_rate,inning,series
Usman Khawaja ,42,101,145,5,0,41.58,Australia 1st Innings,"Australia vs Pakistan, 2nd Test at Melbourne, Dec 26 2023, Pakistan tour of Australia"
Marnus Labuschagne ,63,155,251,5,0,40.64,Australia 1st Innings,"Australia vs Pakistan, 2nd Test at Melbourne, Dec 26 2023, Pakistan tour of Australia"
Steven Smith ,26,75,119,2,0,34.66,Australia 1st Innings,"Australia vs Pakistan, 2nd Test at Melbourne, Dec 26 2023, Pakistan tour of Australia"
Travis Head ,17,32,58,3,0,53.12,Australia 1st Innings,"Australia vs Pakistan, 2nd Test at Melbourne, Dec 26 2023, Pakistan tour of Australia"
Mitchell Marsh ,41,60,101,6,1,68.33,Australia 1st Innings,"Australia vs Pakistan, 2nd Test at Melbourne, Dec 26 2023, Pakistan tour of Australia"
Alex Carey †,4,10,19,0,0,40.00,Australia 1st Innings,"Australia vs Pakistan, 2nd Test at Melbourne, Dec 26 2023, Pakistan tour of Australia"
Mitchell Starc ,9,11,16,2,0,81.81,Australia 1st Innings,"Australia vs Pakistan, 2nd Test at Melbourne, Dec 26 2023, Pakistan tour of Australia"
Pat Cummins (c),13,30,46,1,0,43.33,Australia 1st Innings,"Australia vs Pakistan, 2nd Test at Melbourne, Dec 26 2023, Pakistan tour of Australia"
Nathan Lyon ,8,19,38,1,0,42.10,Australia 1st Innings,"Australia vs Pakistan, 2nd Test at Melbourne, Dec 26 2023, Pakistan tour of Australia"
Josh Hazlewood ,5,7,9,1,0,71.42,Australia 1st Innings,"Australia vs Pakistan, 2nd Test at Melbourne, Dec 26 2023, Pakistan tour of Australia"
Abdullah Shafique ,62,109,163,5,0,56.88,Pakistan 1st Innings,"Australia vs Pakistan, 2nd Test at Melbourne, Dec 26 2023, Pakistan tour of Australia"
Imam-ul-Haq ,10,44,72,1,0,22.72,Pakistan 1st Innings,"Australia vs Pakistan, 2nd Test at Melbourne, Dec 26 2023, Pakistan tour of Australia"
Shan Masood (c),54,76,126,3,1,71.05,Pakistan 1st Innings,"Australia vs Pakistan, 2nd Test at Melbourne, Dec 26 2023, Pakistan tour of Australia"
Babar Azam ,1,7,8,0,0,14.28,Pakistan 1st Innings,"Australia vs Pakistan, 2nd Test at Melbourne, Dec 26 2023, Pakistan tour of Australia"
Saud Shakeel ,9,29,39,0,0,31.03,Pakistan 1st Innings,"Australia vs Pakistan, 2nd Test at Melbourne, Dec 26 2023, Pakistan tour of Australia"
Mohammad Rizwan †,42,51,97,1,1,82.35,Pakistan 1st Innings,"Australia vs Pakistan, 2nd Test at Melbourne, Dec 26 2023, Pakistan tour of Australia"
Agha Salman ,5,8,15,1,0,62.50,Pakistan 1st Innings,"Australia vs Pakistan, 2nd Test at Melbourne, Dec 26 2023, Pakistan tour of Australia"
Aamer Jamal ,33,80,139,4,1,41.25,Pakistan 1st Innings,"Australia vs Pakistan, 2nd Test at Melbourne, Dec 26 2023, Pakistan tour of Australia"
Shaheen Shah Afridi ,21,28,36,4,0,75.00,Pakistan 1st Innings,"Australia vs Pakistan, 2nd Test at Melbourne, Dec 26 2023, Pakistan tour of Australia"
Hasan Ali ,2,11,16,0,0,18.18,Pakistan 1st Innings,"Australia vs Pakistan, 2nd Test at Melbourne, Dec 26 2023, Pakistan tour of Australia"
Mir Hamza ,2,3,4,0,0,66.66,Pakistan 1st Innings,"Australia vs Pakistan, 2nd Test at Melbourne, Dec 26 2023, Pakistan tour of Australia"
Usman Khawaja ,0,2,2,0,0,0.00,Australia 2nd Innings,"Australia vs Pakistan, 2nd Test at Melbourne, Dec 26 2023, Pakistan tour of Australia"
David Warner ,6,16,30,1,0,37.50,Australia 2nd Innings,"Australia vs Pakistan, 2nd Test at Melbourne, Dec 26 2023, Pakistan tour of Australia"
Marnus Labuschagne ,4,8,12,1,0,50.00,Australia 2nd Innings,"Australia vs Pakistan, 2nd Test at Melbourne, Dec 26 2023, Pakistan tour of Australia"
Steven Smith ,50,176,282,3,0,28.40,Australia 2nd Innings,"Australia vs Pakistan, 2nd Test at Melbourne, Dec 26 2023, Pakistan tour of Australia"
Travis Head ,0,1,1,0,0,0.00,Australia 2nd Innings,"Australia vs Pakistan, 2nd Test at Melbourne, Dec 26 2023, Pakistan tour of Australia"
Mitchell Marsh ,96,130,213,13,0,73.84,Australia 2nd Innings,"Australia vs Pakistan, 2nd Test at Melbourne, Dec 26 2023, Pakistan tour of Australia"
Alex Carey †,53,101,147,8,0,52.47,Australia 2nd Innings,"Australia vs Pakistan, 2nd Test at Melbourne, Dec 26 2023, Pakistan tour of Australia"
Mitchell Starc ,9,21,25,1,0,42.85,Australia 2nd Innings,"Australia vs Pakistan, 2nd Test at Melbourne, Dec 26 2023, Pakistan tour of Australia"
Pat Cummins (c),16,30,23,0,0,53.33,Australia 2nd Innings,"Australia vs Pakistan, 2nd Test at Melbourne, Dec 26 2023, Pakistan tour of Australia"
Nathan Lyon ,11,13,9,2,0,84.61,Australia 2nd Innings,"Australia vs Pakistan, 2nd Test at Melbourne, Dec 26 2023, Pakistan tour of Australia"
Josh Hazlewood ,1,7,23,0,0,14.28,Australia 2nd Innings,"Australia vs Pakistan, 2nd Test at Melbourne, Dec 26 2023, Pakistan tour of Australia"
Abdullah Shafique ,4,13,18,0,0,30.76,Pakistan 2nd Innings,"Australia vs Pakistan, 2nd Test at Melbourne, Dec 26 2023, Pakistan tour of Australia"
Imam-ul-Haq ,12,38,68,0,0,31.57,Pakistan 2nd Innings,"Australia vs Pakistan, 2nd Test at Melbourne, Dec 26 2023, Pakistan tour of Australia"
Shan Masood (c),60,71,112,7,0,84.50,Pakistan 2nd Innings,"Australia vs Pakistan, 2nd Test at Melbourne, Dec 26 2023, Pakistan tour of Australia"
Babar Azam ,41,79,122,4,0,51.89,Pakistan 2nd Innings,"Australia vs Pakistan, 2nd Test at Melbourne, Dec 26 2023, Pakistan tour of Australia"
Saud Shakeel ,24,55,89,1,0,43.63,Pakistan 2nd Innings,"Australia vs Pakistan, 2nd Test at Melbourne, Dec 26 2023, Pakistan tour of Australia"
Mohammad Rizwan †,35,62,107,3,1,56.45,Pakistan 2nd Innings,"Australia vs Pakistan, 2nd Test at Melbourne, Dec 26 2023, Pakistan tour of Australia"
Agha Salman ,50,70,109,6,0,71.42,Pakistan 2nd Innings,"Australia vs Pakistan, 2nd Test at Melbourne, Dec 26 2023, Pakistan tour of Australia"
Aamer Jamal ,0,8,9,0,0,0.00,Pakistan 2nd Innings,"Australia vs Pakistan, 2nd Test at Melbourne, Dec 26 2023, Pakistan tour of Australia"
Shaheen Shah Afridi ,0,6,16,0,0,0.00,Pakistan 2nd Innings,"Australia vs Pakistan, 2nd Test at Melbourne, Dec 26 2023, Pakistan tour of Australia"
Hasan Ali ,0,2,6,0,0,0.00,Pakistan 2nd Innings,"Australia vs Pakistan, 2nd Test at Melbourne, Dec 26 2023, Pakistan tour of Australia"
Mir Hamza ,0,1,1,0,0,0.00,Pakistan 2nd Innings,"Australia vs Pakistan, 2nd Test at Melbourne, Dec 26 2023, Pakistan tour of Australia"
David Warner ,164,211,346,16,4,77.72,Australia 1st Innings,"Australia vs Pakistan, 1st Test at Perth, Dec 14 2023, Pakistan tour of Australia"
Usman Khawaja ,41,98,139,6,0,41.83,Australia 1st Innings,"Australia vs Pakistan, 1st Test at Perth, Dec 14 2023, Pakistan tour of Australia"
Marnus Labuschagne ,16,25,43,1,0,64.00,Australia 1st Innings,"Australia vs Pakistan, 1st Test at Perth, Dec 14 2023, Pakistan tour of Australia"
Steven Smith ,31,60,79,4,0,51.66,Australia 1st Innings,"Australia vs Pakistan, 1st Test at Perth, Dec 14 2023, Pakistan tour of Australia"
Travis Head ,40,53,65,6,0,75.47,Australia 1st Innings,"Australia vs Pakistan, 1st Test at Perth, Dec 14 2023, Pakistan tour of Australia"
Mitchell Marsh ,90,107,182,15,1,84.11,Australia 1st Innings,"Australia vs Pakistan, 1st Test at Perth, Dec 14 2023, Pakistan tour of Australia"
Alex Carey †,34,73,105,4,0,46.57,Australia 1st Innings,"Australia vs Pakistan, 1st Test at Perth, Dec 14 2023, Pakistan tour of Australia"
Mitchell Starc ,12,23,33,2,0,52.17,Australia 1st Innings,"Australia vs Pakistan, 1st Test at Perth, Dec 14 2023, Pakistan tour of Australia"
Pat Cummins (c),9,22,37,1,0,40.90,Australia 1st Innings,"Australia vs Pakistan, 1st Test at Perth, Dec 14 2023, Pakistan tour of Australia"
Nathan Lyon ,5,12,17,0,0,41.66,Australia 1st Innings,"Australia vs Pakistan, 1st Test at Perth, Dec 14 2023, Pakistan tour of Australia"
Josh Hazlewood ,4,5,7,1,0,80.00,Australia 1st Innings,"Australia vs Pakistan, 1st Test at Perth, Dec 14 2023, Pakistan tour of Australia"
Abdullah Shafique ,42,121,160,6,0,34.71,Pakistan 1st Innings,"Australia vs Pakistan, 1st Test at Perth, Dec 14 2023, Pakistan tour of Australia"
Imam-ul-Haq ,62,199,342,4,0,31.15,Pakistan 1st Innings,"Australia vs Pakistan, 1st Test at Perth, Dec 14 2023, Pakistan tour of Australia"
Shan Masood (c),30,43,61,5,0,69.76,Pakistan 1st Innings,"Australia vs Pakistan, 1st Test at Perth, Dec 14 2023, Pakistan tour of Australia"
Khurram Shahzad ,7,20,14,1,0,35.00,Pakistan 1st Innings,"Australia vs Pakistan, 1st Test at Perth, Dec 14 2023, Pakistan tour of Australia"
Babar Azam ,21,54,80,2,0,38.88,Pakistan 1st Innings,"Australia vs Pakistan, 1st Test at Perth, Dec 14 2023, Pakistan tour of Australia"
Saud Shakeel ,28,43,72,4,0,65.11,Pakistan 1st Innings,"Australia vs Pakistan, 1st Test at Perth, Dec 14 2023, Pakistan tour of Australia"
Sarfaraz Ahmed †,3,6,5,0,0,50.00,Pakistan 1st Innings,"Australia vs Pakistan, 1st Test at Perth, Dec 14 2023, Pakistan tour of Australia"
Agha Salman ,28,76,121,4,0,36.84,Pakistan 1st Innings,"Australia vs Pakistan, 1st Test at Perth, Dec 14 2023, Pakistan tour of Australia"
Faheem Ashraf ,9,17,25,1,0,52.94,Pakistan 1st Innings,"Australia vs Pakistan, 1st Test at Perth, Dec 14 2023, Pakistan tour of Australia"
Aamer Jamal ,10,18,26,0,0,55.55,Pakistan 1st Innings,"Australia vs Pakistan, 1st Test at Perth, Dec 14 2023, Pakistan tour of Australia"
Shaheen Shah Afridi ,4,14,18,1,0,28.57,Pakistan 1st Innings,"Australia vs Pakistan, 1st Test at Perth, Dec 14 2023, Pakistan tour of Australia"
Usman Khawaja ,90,190,308,9,0,47.36,Australia 2nd Innings,"Australia vs Pakistan, 1st Test at Perth, Dec 14 2023, Pakistan tour of Australia"
David Warner ,0,5,8,0,0,0.00,Australia 2nd Innings,"Australia vs Pakistan, 1st Test at Perth, Dec 14 2023, Pakistan tour of Australia"
Marnus Labuschagne ,2,18,29,0,0,11.11,Australia 2nd Innings,"Australia vs Pakistan, 1st Test at Perth, Dec 14 2023, Pakistan tour of Australia"
Steven Smith ,45,87,130,3,1,51.72,Australia 2nd Innings,"Australia vs Pakistan, 1st Test at Perth, Dec 14 2023, Pakistan tour of Australia"
Travis Head ,14,19,27,2,0,73.68,Australia 2nd Innings,"Australia vs Pakistan, 1st Test at Perth, Dec 14 2023, Pakistan tour of Australia"
Mitchell Marsh ,63,68,106,7,2,92.64,Australia 2nd Innings,"Australia vs Pakistan, 1st Test at Perth, Dec 14 2023, Pakistan tour of Australia"
Abdullah Shafique ,2,6,5,0,0,33.33,Pakistan 2nd Innings,"Australia vs Pakistan, 1st Test at Perth, Dec 14 2023, Pakistan tour of Australia"
Imam-ul-Haq ,10,20,33,0,0,50.00,Pakistan 2nd Innings,"Australia vs Pakistan, 1st Test at Perth, Dec 14 2023, Pakistan tour of Australia"
Shan Masood (c),2,11,20,0,0,18.18,Pakistan 2nd Innings,"Australia vs Pakistan, 1st Test at Perth, Dec 14 2023, Pakistan tour of Australia"
Babar Azam ,14,37,43,2,0,37.83,Pakistan 2nd Innings,"Australia vs Pakistan, 1st Test at Perth, Dec 14 2023, Pakistan tour of Australia"
Saud Shakeel ,24,51,111,4,0,47.05,Pakistan 2nd Innings,"Australia vs Pakistan, 1st Test at Perth, Dec 14 2023, Pakistan tour of Australia"
Sarfaraz Ahmed †,4,10,13,0,0,40.00,Pakistan 2nd Innings,"Australia vs Pakistan, 1st Test at Perth, Dec 14 2023, Pakistan tour of Australia"
Agha Salman ,5,11,11,0,0,45.45,Pakistan 2nd Innings,"Australia vs Pakistan, 1st Test at Perth, Dec 14 2023, Pakistan tour of Australia"
Faheem Ashraf ,5,22,30,0,0,22.72,Pakistan 2nd Innings,"Australia vs Pakistan, 1st Test at Perth, Dec 14 2023, Pakistan tour of Australia"
Aamer Jamal ,0,4,1,0,0,0.00,Pakistan 2nd Innings,"Australia vs Pakistan, 1st Test at Perth, Dec 14 2023, Pakistan tour of Australia"
Shaheen Shah Afridi ,3,9,12,0,0,33.33,Pakistan 2nd Innings,"Australia vs Pakistan, 1st Test at Perth, Dec 14 2023, Pakistan tour of Australia"
Khurram Shahzad ,0,1,1,0,0,0.00,Pakistan 2nd Innings,"Australia vs Pakistan, 1st Test at Perth, Dec 14 2023, Pakistan tour of Australia"
Mahmudul Hasan Joy ,14,40,49,2,0,35.00,Bangladesh 1st Innings,"Bangladesh vs New Zealand, 2nd Test at Dhaka, Dec 06 2023, New Zealand tour of Bangladesh"
Zakir Hasan ,8,24,45,1,0,33.33,Bangladesh 1st Innings,"Bangladesh vs New Zealand, 2nd Test at Dhaka, Dec 06 2023, New Zealand tour of Bangladesh"
Najmul Hossain Shanto (c),9,14,24,1,0,64.28,Bangladesh 1st Innings,"Bangladesh vs New Zealand, 2nd Test at Dhaka, Dec 06 2023, New Zealand tour of Bangladesh"
Mominul Haque ,5,10,12,0,0,50.00,Bangladesh 1st Innings,"Bangladesh vs New Zealand, 2nd Test at Dhaka, Dec 06 2023, New Zealand tour of Bangladesh"
Mushfiqur Rahim ,35,83,104,3,1,42.16,Bangladesh 1st Innings,"Bangladesh vs New Zealand, 2nd Test at Dhaka, Dec 06 2023, New Zealand tour of Bangladesh"
Shahadat Hossain ,31,102,131,2,0,30.39,Bangladesh 1st Innings,"Bangladesh vs New Zealand, 2nd Test at Dhaka, Dec 06 2023, New Zealand tour of Bangladesh"
Mehidy Hasan Miraz ,20,42,67,2,0,47.61,Bangladesh 1st Innings,"Bangladesh vs New Zealand, 2nd Test at Dhaka, Dec 06 2023, New Zealand tour of Bangladesh"
Nurul Hasan †,7,16,18,1,0,43.75,Bangladesh 1st Innings,"Bangladesh vs New Zealand, 2nd Test at Dhaka, Dec 06 2023, New Zealand tour of Bangladesh"
Nayeem Hasan ,13,43,53,0,0,30.23,Bangladesh 1st Innings,"Bangladesh vs New Zealand, 2nd Test at Dhaka, Dec 06 2023, New Zealand tour of Bangladesh"
Taijul Islam ,6,12,19,1,0,50.00,Bangladesh 1st Innings,"Bangladesh vs New Zealand, 2nd Test at Dhaka, Dec 06 2023, New Zealand tour of Bangladesh"
Shoriful Islam ,10,12,18,0,0,83.33,Bangladesh 1st Innings,"Bangladesh vs New Zealand, 2nd Test at Dhaka, Dec 06 2023, New Zealand tour of Bangladesh"
Tom Latham ,4,20,25,0,0,20.00,New Zealand 1st Innings,"Bangladesh vs New Zealand, 2nd Test at Dhaka, Dec 06 2023, New Zealand tour of Bangladesh"
Devon Conway ,11,14,19,1,1,78.57,New Zealand 1st Innings,"Bangladesh vs New Zealand, 2nd Test at Dhaka, Dec 06 2023, New Zealand tour of Bangladesh"
Kane Williamson ,13,14,26,2,0,92.85,New Zealand 1st Innings,"Bangladesh vs New Zealand, 2nd Test at Dhaka, Dec 06 2023, New Zealand tour of Bangladesh"
Henry Nicholls ,1,10,9,0,0,10.00,New Zealand 1st Innings,"Bangladesh vs New Zealand, 2nd Test at Dhaka, Dec 06 2023, New Zealand tour of Bangladesh"
Daryl Mitchell ,18,39,55,2,0,46.15,New Zealand 1st Innings,"Bangladesh vs New Zealand, 2nd Test at Dhaka, Dec 06 2023, New Zealand tour of Bangladesh"
Tom Blundell †,0,2,2,0,0,0.00,New Zealand 1st Innings,"Bangladesh vs New Zealand, 2nd Test at Dhaka, Dec 06 2023, New Zealand tour of Bangladesh"
Glenn Phillips ,87,72,112,9,4,120.83,New Zealand 1st Innings,"Bangladesh vs New Zealand, 2nd Test at Dhaka, Dec 06 2023, New Zealand tour of Bangladesh"
Mitchell Santner ,1,7,7,0,0,14.28,New Zealand 1st Innings,"Bangladesh vs New Zealand, 2nd Test at Dhaka, Dec 06 2023, New Zealand tour of Bangladesh"
Kyle Jamieson ,20,28,39,3,0,71.42,New Zealand 1st Innings,"Bangladesh vs New Zealand, 2nd Test at Dhaka, Dec 06 2023, New Zealand tour of Bangladesh"
Tim Southee (c),14,15,26,1,1,93.33,New Zealand 1st Innings,"Bangladesh vs New Zealand, 2nd Test at Dhaka, Dec 06 2023, New Zealand tour of Bangladesh"
Ajaz Patel ,0,2,3,0,0,0.00,New Zealand 1st Innings,"Bangladesh vs New Zealand, 2nd Test at Dhaka, Dec 06 2023, New Zealand tour of Bangladesh"
Zakir Hasan ,59,86,143,6,1,68.60,Bangladesh 2nd Innings,"Bangladesh vs New Zealand, 2nd Test at Dhaka, Dec 06 2023, New Zealand tour of Bangladesh"
Mahmudul Hasan Joy ,2,2,2,0,0,100.00,Bangladesh 2nd Innings,"Bangladesh vs New Zealand, 2nd Test at Dhaka, Dec 06 2023, New Zealand tour of Bangladesh"
Najmul Hossain Shanto (c),15,24,30,2,0,62.50,Bangladesh 2nd Innings,"Bangladesh vs New Zealand, 2nd Test at Dhaka, Dec 06 2023, New Zealand tour of Bangladesh"
Mominul Haque ,10,19,27,2,0,52.63,Bangladesh 2nd Innings,"Bangladesh vs New Zealand, 2nd Test at Dhaka, Dec 06 2023, New Zealand tour of Bangladesh"
Mushfiqur Rahim ,9,12,12,1,0,75.00,Bangladesh 2nd Innings,"Bangladesh vs New Zealand, 2nd Test at Dhaka, Dec 06 2023, New Zealand tour of Bangladesh"
Shahadat Hossain ,4,11,9,1,0,36.36,Bangladesh 2nd Innings,"Bangladesh vs New Zealand, 2nd Test at Dhaka, Dec 06 2023, New Zealand tour of Bangladesh"
Mehidy Hasan Miraz ,3,7,21,0,0,42.85,Bangladesh 2nd Innings,"Bangladesh vs New Zealand, 2nd Test at Dhaka, Dec 06 2023, New Zealand tour of Bangladesh"
Nurul Hasan †,0,3,5,0,0,0.00,Bangladesh 2nd Innings,"Bangladesh vs New Zealand, 2nd Test at Dhaka, Dec 06 2023, New Zealand tour of Bangladesh"
Nayeem Hasan ,9,19,16,1,0,47.36,Bangladesh 2nd Innings,"Bangladesh vs New Zealand, 2nd Test at Dhaka, Dec 06 2023, New Zealand tour of Bangladesh"
Taijul Islam ,14,21,21,1,0,66.66,Bangladesh 2nd Innings,"Bangladesh vs New Zealand, 2nd Test at Dhaka, Dec 06 2023, New Zealand tour of Bangladesh"
Shoriful Islam ,8,6,6,1,0,133.33,Bangladesh 2nd Innings,"Bangladesh vs New Zealand, 2nd Test at Dhaka, Dec 06 2023, New Zealand tour of Bangladesh"
Tom Latham ,26,60,86,3,0,43.33,New Zealand 2nd Innings,"Bangladesh vs New Zealand, 2nd Test at Dhaka, Dec 06 2023, New Zealand tour of Bangladesh"
Devon Conway ,2,15,18,0,0,13.33,New Zealand 2nd Innings,"Bangladesh vs New Zealand, 2nd Test at Dhaka, Dec 06 2023, New Zealand tour of Bangladesh"
Kane Williamson ,11,24,24,2,0,45.83,New Zealand 2nd Innings,"Bangladesh vs New Zealand, 2nd Test at Dhaka, Dec 06 2023, New Zealand tour of Bangladesh"
Henry Nicholls ,3,10,17,0,0,30.00,New Zealand 2nd Innings,"Bangladesh vs New Zealand, 2nd Test at Dhaka, Dec 06 2023, New Zealand tour of Bangladesh"
Daryl Mitchell ,19,36,55,2,0,52.77,New Zealand 2nd Innings,"Bangladesh vs New Zealand, 2nd Test at Dhaka, Dec 06 2023, New Zealand tour of Bangladesh"
Tom Blundell †,2,6,8,0,0,33.33,New Zealand 2nd Innings,"Bangladesh vs New Zealand, 2nd Test at Dhaka, Dec 06 2023, New Zealand tour of Bangladesh"
Glenn Phillips ,40,48,75,4,1,83.33,New Zealand 2nd Innings,"Bangladesh vs New Zealand, 2nd Test at Dhaka, Dec 06 2023, New Zealand tour of Bangladesh"
Mitchell Santner ,35,39,53,3,1,89.74,New Zealand 2nd Innings,"Bangladesh vs New Zealand, 2nd Test at Dhaka, Dec 06 2023, New Zealand tour of Bangladesh"
Mahmudul Hasan Joy ,86,166,235,11,0,51.80,Bangladesh 1st Innings,"Bangladesh vs New Zealand, 1st Test at Sylhet, Nov 28 2023, New Zealand tour of Bangladesh"
Zakir Hasan ,12,41,60,1,0,29.26,Bangladesh 1st Innings,"Bangladesh vs New Zealand, 1st Test at Sylhet, Nov 28 2023, New Zealand tour of Bangladesh"
Najmul Hossain Shanto (c),37,35,46,2,3,105.71,Bangladesh 1st Innings,"Bangladesh vs New Zealand, 1st Test at Sylhet, Nov 28 2023, New Zealand tour of Bangladesh"
Mominul Haque ,37,78,119,4,0,47.43,Bangladesh 1st Innings,"Bangladesh vs New Zealand, 1st Test at Sylhet, Nov 28 2023, New Zealand tour of Bangladesh"
Mushfiqur Rahim ,12,22,33,1,0,54.54,Bangladesh 1st Innings,"Bangladesh vs New Zealand, 1st Test at Sylhet, Nov 28 2023, New Zealand tour of Bangladesh"
Shahadat Hossain ,24,54,85,3,0,44.44,Bangladesh 1st Innings,"Bangladesh vs New Zealand, 1st Test at Sylhet, Nov 28 2023, New Zealand tour of Bangladesh"
Mehidy Hasan Miraz ,20,30,30,2,0,66.66,Bangladesh 1st Innings,"Bangladesh vs New Zealand, 1st Test at Sylhet, Nov 28 2023, New Zealand tour of Bangladesh"
Nurul Hasan †,29,28,51,5,0,103.57,Bangladesh 1st Innings,"Bangladesh vs New Zealand, 1st Test at Sylhet, Nov 28 2023, New Zealand tour of Bangladesh"
Nayeem Hasan ,16,27,41,3,0,59.25,Bangladesh 1st Innings,"Bangladesh vs New Zealand, 1st Test at Sylhet, Nov 28 2023, New Zealand tour of Bangladesh"
Taijul Islam ,8,21,30,1,0,38.09,Bangladesh 1st Innings,"Bangladesh vs New Zealand, 1st Test at Sylhet, Nov 28 2023, New Zealand tour of Bangladesh"
Shoriful Islam ,13,9,14,3,0,144.44,Bangladesh 1st Innings,"Bangladesh vs New Zealand, 1st Test at Sylhet, Nov 28 2023, New Zealand tour of Bangladesh"
Tom Latham ,21,44,57,3,0,47.72,New Zealand 1st Innings,"Bangladesh vs New Zealand, 1st Test at Sylhet, Nov 28 2023, New Zealand tour of Bangladesh"
Devon Conway ,12,40,69,1,0,30.00,New Zealand 1st Innings,"Bangladesh vs New Zealand, 1st Test at Sylhet, Nov 28 2023, New Zealand tour of Bangladesh"
Kane Williamson ,104,205,289,11,0,50.73,New Zealand 1st Innings,"Bangladesh vs New Zealand, 1st Test at Sylhet, Nov 28 2023, New Zealand tour of Bangladesh"
Henry Nicholls ,19,42,66,1,1,45.23,New Zealand 1st Innings,"Bangladesh vs New Zealand, 1st Test at Sylhet, Nov 28 2023, New Zealand tour of Bangladesh"
Daryl Mitchell ,41,54,72,3,1,75.92,New Zealand 1st Innings,"Bangladesh vs New Zealand, 1st Test at Sylhet, Nov 28 2023, New Zealand tour of Bangladesh"
Tom Blundell †,6,23,32,1,0,26.08,New Zealand 1st Innings,"Bangladesh vs New Zealand, 1st Test at Sylhet, Nov 28 2023, New Zealand tour of Bangladesh"
Glenn Phillips ,42,62,81,5,1,67.74,New Zealand 1st Innings,"Bangladesh vs New Zealand, 1st Test at Sylhet, Nov 28 2023, New Zealand tour of Bangladesh"
Kyle Jamieson ,23,70,107,1,0,32.85,New Zealand 1st Innings,"Bangladesh vs New Zealand, 1st Test at Sylhet, Nov 28 2023, New Zealand tour of Bangladesh"
Ish Sodhi ,0,6,9,0,0,0.00,New Zealand 1st Innings,"Bangladesh vs New Zealand, 1st Test at Sylhet, Nov 28 2023, New Zealand tour of Bangladesh"
Tim Southee (c),35,62,75,3,0,56.45,New Zealand 1st Innings,"Bangladesh vs New Zealand, 1st Test at Sylhet, Nov 28 2023, New Zealand tour of Bangladesh"
Ajaz Patel ,1,3,4,0,0,33.33,New Zealand 1st Innings,"Bangladesh vs New Zealand, 1st Test at Sylhet, Nov 28 2023, New Zealand tour of Bangladesh"
Mahmudul Hasan Joy ,8,46,63,0,0,17.39,Bangladesh 2nd Innings,"Bangladesh vs New Zealand, 1st Test at Sylhet, Nov 28 2023, New Zealand tour of Bangladesh"
Zakir Hasan ,17,30,53,2,0,56.66,Bangladesh 2nd Innings,"Bangladesh vs New Zealand, 1st Test at Sylhet, Nov 28 2023, New Zealand tour of Bangladesh"
Najmul Hossain Shanto (c),105,198,251,10,0,53.03,Bangladesh 2nd Innings,"Bangladesh vs New Zealand, 1st Test at Sylhet, Nov 28 2023, New Zealand tour of Bangladesh"
Mominul Haque ,40,68,110,4,0,58.82,Bangladesh 2nd Innings,"Bangladesh vs New Zealand, 1st Test at Sylhet, Nov 28 2023, New Zealand tour of Bangladesh"
Mushfiqur Rahim ,67,116,205,7,0,57.75,Bangladesh 2nd Innings,"Bangladesh vs New Zealand, 1st Test at Sylhet, Nov 28 2023, New Zealand tour of Bangladesh"
Shahadat Hossain ,18,19,25,4,0,94.73,Bangladesh 2nd Innings,"Bangladesh vs New Zealand, 1st Test at Sylhet, Nov 28 2023, New Zealand tour of Bangladesh"
Mehidy Hasan Miraz ,50,76,118,5,0,65.78,Bangladesh 2nd Innings,"Bangladesh vs New Zealand, 1st Test at Sylhet, Nov 28 2023, New Zealand tour of Bangladesh"
Nurul Hasan †,10,27,28,1,0,37.03,Bangladesh 2nd Innings,"Bangladesh vs New Zealand, 1st Test at Sylhet, Nov 28 2023, New Zealand tour of Bangladesh"
Nayeem Hasan ,4,11,14,0,0,36.36,Bangladesh 2nd Innings,"Bangladesh vs New Zealand, 1st Test at Sylhet, Nov 28 2023, New Zealand tour of Bangladesh"
Taijul Islam ,0,6,6,0,0,0.00,Bangladesh 2nd Innings,"Bangladesh vs New Zealand, 1st Test at Sylhet, Nov 28 2023, New Zealand tour of Bangladesh"
Shoriful Islam ,10,7,18,1,0,142.85,Bangladesh 2nd Innings,"Bangladesh vs New Zealand, 1st Test at Sylhet, Nov 28 2023, New Zealand tour of Bangladesh"
Tom Latham ,0,6,4,0,0,0.00,New Zealand 2nd Innings,"Bangladesh vs New Zealand, 1st Test at Sylhet, Nov 28 2023, New Zealand tour of Bangladesh"
Devon Conway ,22,76,104,3,0,28.94,New Zealand 2nd Innings,"Bangladesh vs New Zealand, 1st Test at Sylhet, Nov 28 2023, New Zealand tour of Bangladesh"
Kane Williamson ,11,24,41,2,0,45.83,New Zealand 2nd Innings,"Bangladesh vs New Zealand, 1st Test at Sylhet, Nov 28 2023, New Zealand tour of Bangladesh"
Henry Nicholls ,2,8,12,0,0,25.00,New Zealand 2nd Innings,"Bangladesh vs New Zealand, 1st Test at Sylhet, Nov 28 2023, New Zealand tour of Bangladesh"
Daryl Mitchell ,58,120,188,7,0,48.33,New Zealand 2nd Innings,"Bangladesh vs New Zealand, 1st Test at Sylhet, Nov 28 2023, New Zealand tour of Bangladesh"
Tom Blundell †,6,16,14,1,0,37.50,New Zealand 2nd Innings,"Bangladesh vs New Zealand, 1st Test at Sylhet, Nov 28 2023, New Zealand tour of Bangladesh"
Glenn Phillips ,12,26,33,1,0,46.15,New Zealand 2nd Innings,"Bangladesh vs New Zealand, 1st Test at Sylhet, Nov 28 2023, New Zealand tour of Bangladesh"
